2017112204p数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_2019-1-01_2019-2-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2019-3-01_2019-4-01_NDWI_30m",28.6707,1.07039,3869.17,1.87350,63.1482
"监测时间：Lan7_2019-4-01_2019-5-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,57.8858
"监测时间：Lan7_2019-5-01_2019-6-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2019-8-01_2019-9-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2019-9-01_2019-10-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2019-10-01_2019-11-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2019-11-01_2019-12-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2020-2-01_2020-3-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2020-3-01_2020-4-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2020-4-01_2020-5-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2020-5-01_2020-6-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2020-6-01_2020-7-01_NDWI_30m",19.0309,0.937047,3868.81,1.63190,71.0417
